DrugA,DrugB,Interaction,Mechanism,risk_level
Vindesine,Hydroflumethiazide,The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Vindesine.,increase,risk
Vindesine,Hydroxychloroquine,The risk or severity of adverse effects can be increased when Vindesine is combined with Hydroxychloroquine.,increase,risk
Vindesine,Hydroxyurea,The risk or severity of adverse effects can be increased when Vindesine is combined with Hydroxyurea.,increase,risk
Vindesine,Janssen COVID-19 Vaccine,The therapeutic efficacy of Janssen COVID-19 Vaccine can be decreased when used in combination with Vindesine.,decrease,no risk
Vindesine,Japanese encephalitis virus strain sa 14-14-2 antigen (formaldehyde inactivated),The therapeutic efficacy of Japanese encephalitis virus strain sa 14-14-2 antigen (formaldehyde inactivated) can be decreased when used in combination with Vindesine.,decrease,no risk
Vindesine,Ketazolam,The serum concentration of Vindesine can be increased when it is combined with Ketazolam.,increase,no risk
Vindesine,Ketoconazole,The metabolism of Vindesine can be decreased when combined with Ketoconazole.,decrease,no risk
Vindesine,Nadroparin,The risk or severity of bleeding can be increased when Nadroparin is combined with Vindesine.,increase,risk
Vindesine,Nafcillin,The metabolism of Vindesine can be increased when combined with Nafcillin.,increase,no risk
Vindesine,Natalizumab,The risk or severity of immunosuppression can be increased when Vindesine is combined with Natalizumab.,increase,risk
Vindesine,Nefazodone,The metabolism of Vindesine can be decreased when combined with Nefazodone.,decrease,no risk
Vindesine,Nelarabine,The risk or severity of adverse effects can be increased when Vindesine is combined with Nelarabine.,increase,risk
Vindesine,Nelfinavir,The metabolism of Vindesine can be decreased when combined with Nelfinavir.,decrease,no risk
Vindesine,Netupitant,The metabolism of Vindesine can be decreased when combined with Netupitant.,decrease,no risk
Vindesine,Niacin,The serum concentration of Vindesine can be increased when it is combined with Niacin.,increase,no risk
Vindesine,Nicardipine,The metabolism of Vindesine can be decreased when combined with Nicardipine.,decrease,no risk
Vindesine,Nilotinib,The metabolism of Vindesine can be decreased when combined with Nilotinib.,decrease,no risk
Vindesine,Nilvadipine,The metabolism of Vindesine can be decreased when combined with Nilvadipine.,decrease,no risk
Vindesine,Nimesulide,The risk or severity of bleeding can be increased when Nimesulide is combined with Vindesine.,increase,risk
Vindesine,Nintedanib,The metabolism of Vindesine can be decreased when combined with Nintedanib.,decrease,no risk
Vindesine,Norethisterone,The metabolism of Vindesine can be decreased when combined with Norethisterone.,decrease,no risk
Vindesine,Norgestimate,The metabolism of Vindesine can be increased when combined with Norgestimate.,increase,no risk
Vindesine,Noscapine,The serum concentration of Vindesine can be increased when it is combined with Noscapine.,increase,no risk
Vindesine,Nuvaxovid,The therapeutic efficacy of Nuvaxovid can be decreased when used in combination with Vindesine.,decrease,no risk
Vindesine,Obinutuzumab,The risk or severity of adverse effects can be increased when Vindesine is combined with Obinutuzumab.,increase,risk
Vindesine,Ocrelizumab,Ocrelizumab may increase the immunosuppressive activities of Vindesine.,increase,no risk
Vindesine,Octreotide,The serum concentration of Vindesine can be increased when it is combined with Octreotide.,increase,no risk
