DrugA,DrugB,Interaction,Mechanism,risk_level
Imatinib,Halofantrine,The metabolism of Imatinib can be decreased when combined with Halofantrine.,decrease,no risk
Imatinib,Haloperidol,The risk or severity of QTc prolongation can be increased when Imatinib is combined with Haloperidol.,increase,risk
Imatinib,Halothane,The metabolism of Halothane can be decreased when combined with Imatinib.,decrease,no risk
Imatinib,Heparin,The risk or severity of bleeding can be increased when Heparin is combined with Imatinib.,increase,risk
Imatinib,Hepatitis A Vaccine,The therapeutic efficacy of Hepatitis A Vaccine can be decreased when used in combination with Imatinib.,decrease,no risk
Imatinib,Hepatitis B Vaccine (Recombinant),The therapeutic efficacy of Hepatitis B Vaccine (Recombinant) can be decreased when used in combination with Imatinib.,decrease,no risk
Imatinib,Histamine,The serum concentration of Histamine can be increased when it is combined with Imatinib.,increase,no risk
Imatinib,Histrelin,The risk or severity of QTc prolongation can be increased when Histrelin is combined with Imatinib.,increase,risk
Imatinib,Human adenovirus e serotype 4 strain cl-68578 antigen,The risk or severity of infection can be increased when Human adenovirus e serotype 4 strain cl-68578 antigen is combined with Imatinib.,increase,risk
Imatinib,Hydrochlorothiazide,The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Imatinib.,increase,risk
Imatinib,Hydrocodone,The serum concentration of Hydrocodone can be increased when it is combined with Imatinib.,increase,no risk
Imatinib,Hydrocortisone,The metabolism of Hydrocortisone can be decreased when combined with Imatinib.,decrease,no risk
Imatinib,Hydrocortisone acetate,The risk or severity of adverse effects can be increased when Imatinib is combined with Hydrocortisone acetate.,increase,risk
Imatinib,Hydrocortisone butyrate,The risk or severity of adverse effects can be increased when Imatinib is combined with Hydrocortisone butyrate.,increase,risk
Imatinib,Hydrocortisone cypionate,The metabolism of Hydrocortisone cypionate can be decreased when combined with Imatinib.,decrease,no risk
Imatinib,Hydrocortisone phosphate,The metabolism of Hydrocortisone phosphate can be decreased when combined with Imatinib.,decrease,no risk
Imatinib,Hydrocortisone succinate,The risk or severity of adverse effects can be increased when Imatinib is combined with Hydrocortisone succinate.,increase,risk
Imatinib,Hydroflumethiazide,The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Imatinib.,increase,risk
Imatinib,Hydromorphone,The metabolism of Hydromorphone can be decreased when combined with Imatinib.,decrease,no risk
Imatinib,Hydroxychloroquine,The serum concentration of Hydroxychloroquine can be increased when it is combined with Imatinib.,increase,no risk
Imatinib,Hydroxyprogesterone caproate,The metabolism of Hydroxyprogesterone caproate can be decreased when combined with Imatinib.,decrease,no risk
Imatinib,Hydroxyurea,The risk or severity of adverse effects can be increased when Imatinib is combined with Hydroxyurea.,increase,risk
Imatinib,Hydroxyzine,The risk or severity of QTc prolongation can be increased when Imatinib is combined with Hydroxyzine.,increase,risk
Imatinib,Hyoscyamine,The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Imatinib.,increase,risk
Imatinib,Janssen COVID-19 Vaccine,The therapeutic efficacy of Janssen COVID-19 Vaccine can be decreased when used in combination with Imatinib.,decrease,no risk
Imatinib,Japanese encephalitis virus strain sa 14-14-2 antigen (formaldehyde inactivated),The therapeutic efficacy of Japanese encephalitis virus strain sa 14-14-2 antigen (formaldehyde inactivated) can be decreased when used in combination with Imatinib.,decrease,no risk
Imatinib,Ketamine,The metabolism of Ketamine can be decreased when combined with Imatinib.,decrease,no risk
Imatinib,Ketoconazole,The serum concentration of Imatinib can be increased when it is combined with Ketoconazole.,increase,no risk
Imatinib,Ketoprofen,The metabolism of Imatinib can be decreased when combined with Ketoprofen.,decrease,no risk
Imatinib,Ketorolac,The metabolism of Ketorolac can be decreased when combined with Imatinib.,decrease,no risk
Imatinib,Nabilone,The metabolism of Imatinib can be decreased when combined with Nabilone.,decrease,no risk
Imatinib,Nabumetone,The metabolism of Nabumetone can be decreased when combined with Imatinib.,decrease,no risk
Imatinib,Nadolol,The serum concentration of Nadolol can be increased when it is combined with Imatinib.,increase,no risk
Imatinib,Nadroparin,The risk or severity of bleeding can be increased when Nadroparin is combined with Imatinib.,increase,risk
Imatinib,Nafcillin,The metabolism of Imatinib can be increased when combined with Nafcillin.,increase,no risk
Imatinib,Nalidixic acid,The risk or severity of QTc prolongation can be increased when Nalidixic acid is combined with Imatinib.,increase,risk
Imatinib,Naproxen,The metabolism of Naproxen can be decreased when combined with Imatinib.,decrease,no risk
Imatinib,Natalizumab,The risk or severity of immunosuppression can be increased when Imatinib is combined with Natalizumab.,increase,risk
Imatinib,Nateglinide,The serum concentration of Nateglinide can be increased when it is combined with Imatinib.,increase,no risk
Imatinib,Nebivolol,The serum concentration of Nebivolol can be increased when it is combined with Imatinib.,increase,no risk
Imatinib,Nefazodone,The serum concentration of Imatinib can be increased when it is combined with Nefazodone.,increase,no risk
Imatinib,Nelarabine,The risk or severity of adverse effects can be increased when Imatinib is combined with Nelarabine.,increase,risk
Imatinib,Nelfinavir,The serum concentration of Imatinib can be increased when it is combined with Nelfinavir.,increase,no risk
