DrugA,DrugB,Interaction,Mechanism,risk_level
Roflumilast,Bumetanide,Bumetanide may increase the excretion rate of Roflumilast which could result in a lower serum level and potentially a reduction in efficacy.,increase,no risk
Roflumilast,Buprenorphine,The serum concentration of Roflumilast can be increased when it is combined with Buprenorphine.,increase,no risk
Roflumilast,Bupropion,Bupropion may decrease the excretion rate of Roflumilast which could result in a higher serum level.,decrease,no risk
Roflumilast,Buspirone,Buspirone may decrease the excretion rate of Roflumilast which could result in a higher serum level.,decrease,no risk
Roflumilast,Busulfan,Roflumilast may increase the immunosuppressive activities of Busulfan.,increase,no risk
Roflumilast,Butabarbital,Butabarbital may decrease the excretion rate of Roflumilast which could result in a higher serum level.,decrease,no risk
Roflumilast,Butalbital,The metabolism of Roflumilast can be increased when combined with Butalbital.,increase,no risk
Roflumilast,Gabapentin enacarbil,Roflumilast may decrease the excretion rate of Gabapentin enacarbil which could result in a higher serum level.,decrease,no risk
Roflumilast,Gadobenic acid,Gadobenic acid may decrease the excretion rate of Roflumilast which could result in a higher serum level.,decrease,no risk
Roflumilast,Gadodiamide,Gadodiamide may decrease the excretion rate of Roflumilast which could result in a higher serum level.,decrease,no risk
Roflumilast,Gadofosveset trisodium,Roflumilast may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.,decrease,no risk
Roflumilast,Gadopentetic acid,Gadopentetic acid may decrease the excretion rate of Roflumilast which could result in a higher serum level.,decrease,no risk
Roflumilast,Gadoteric acid,Roflumilast may decrease the excretion rate of Gadoteric acid which could result in a higher serum level.,decrease,no risk
Roflumilast,Gadoteridol,Gadoteridol may decrease the excretion rate of Roflumilast which could result in a higher serum level.,decrease,no risk
Roflumilast,Ganciclovir,Ganciclovir may decrease the excretion rate of Roflumilast which could result in a higher serum level.,decrease,no risk
Roflumilast,Gatifloxacin,The serum concentration of Roflumilast can be increased when it is combined with Gatifloxacin.,increase,no risk
Roflumilast,Gemcitabine,Roflumilast may increase the immunosuppressive activities of Gemcitabine.,increase,no risk
Roflumilast,Gemfibrozil,The serum concentration of Roflumilast can be increased when it is combined with Gemfibrozil.,increase,no risk
Roflumilast,Gemifloxacin,The serum concentration of Roflumilast can be increased when it is combined with Gemifloxacin.,increase,no risk
Roflumilast,Gemtuzumab ozogamicin,Roflumilast may increase the immunosuppressive activities of Gemtuzumab ozogamicin.,increase,no risk
Roflumilast,Gentamicin,Roflumilast may decrease the excretion rate of Gentamicin which could result in a higher serum level.,decrease,no risk
Roflumilast,Gilteritinib,The metabolism of Gilteritinib can be decreased when combined with Roflumilast.,decrease,no risk
Roflumilast,Gimeracil,Roflumilast may decrease the excretion rate of Gimeracil which could result in a higher serum level.,decrease,no risk
Roflumilast,Ginkgo biloba,The metabolism of Roflumilast can be decreased when combined with Ginkgo biloba.,decrease,no risk
Roflumilast,Givosiran,The serum concentration of Roflumilast can be increased when it is combined with Givosiran.,increase,no risk
Roflumilast,Glatiramer,Roflumilast may increase the immunosuppressive activities of Glatiramer.,increase,no risk
Roflumilast,Glecaprevir,The serum concentration of Roflumilast can be increased when it is combined with Glecaprevir.,increase,no risk
Roflumilast,Glipizide,Glipizide may decrease the excretion rate of Roflumilast which could result in a higher serum level.,decrease,no risk
