DrugA,DrugB,Interaction,Mechanism,risk_level
Mycophenolic acid,Zidovudine,The metabolism of Mycophenolic acid can be increased when combined with Zidovudine.,increase,no risk
Mycophenolic acid,Zonisamide,Zonisamide may increase the excretion rate of Mycophenolic acid which could result in a lower serum level and potentially a reduction in efficacy.,increase,no risk
Ketoconazole,Bemiparin,The risk or severity of hyperkalemia can be increased when Ketoconazole is combined with Bemiparin.,increase,risk
Ketoconazole,Bempedoic acid,The metabolism of Bempedoic acid can be decreased when combined with Ketoconazole.,decrease,no risk
Ketoconazole,Benazepril,The risk or severity of hyperkalemia can be increased when Benazepril is combined with Ketoconazole.,increase,risk
Ketoconazole,Bendamustine,The serum concentration of Bendamustine can be increased when it is combined with Ketoconazole.,increase,no risk
Ketoconazole,Benorilate,The risk or severity of hyperkalemia can be increased when Ketoconazole is combined with Benorilate.,increase,risk
Ketoconazole,Benoxaprofen,The risk or severity of hyperkalemia can be increased when Ketoconazole is combined with Benoxaprofen.,increase,risk
Ketoconazole,Benzatropine,The metabolism of Benzatropine can be decreased when combined with Ketoconazole.,decrease,no risk
Ketoconazole,Benzocaine,The metabolism of Benzocaine can be decreased when combined with Ketoconazole.,decrease,no risk
Ketoconazole,Benzphetamine,The metabolism of Benzphetamine can be decreased when combined with Ketoconazole.,decrease,no risk
Ketoconazole,Benzydamine,The risk or severity of hyperkalemia can be increased when Ketoconazole is combined with Benzydamine.,increase,risk
Ketoconazole,Benzyl alcohol,The metabolism of Benzyl alcohol can be decreased when combined with Ketoconazole.,decrease,no risk
Ketoconazole,Benzylpenicillin,The excretion of Benzylpenicillin can be decreased when combined with Ketoconazole.,decrease,no risk
Ketoconazole,Bepridil,The metabolism of Bepridil can be decreased when combined with Ketoconazole.,decrease,no risk
Ketoconazole,Berotralstat,The serum concentration of Berotralstat can be increased when it is combined with Ketoconazole.,increase,no risk
Ketoconazole,Betamethasone,The metabolism of Betamethasone can be decreased when combined with Ketoconazole.,decrease,no risk
Ketoconazole,Betamethasone phosphate,The metabolism of Betamethasone phosphate can be decreased when combined with Ketoconazole.,decrease,no risk
Ketoconazole,Betaxolol,The metabolism of Betaxolol can be decreased when combined with Ketoconazole.,decrease,no risk
Ketoconazole,Betrixaban,The serum concentration of Betrixaban can be increased when it is combined with Ketoconazole.,increase,no risk
Ketoconazole,Bexagliflozin,The metabolism of Bexagliflozin can be decreased when combined with Ketoconazole.,decrease,no risk
Ketoconazole,Bexarotene,The metabolism of Bexarotene can be decreased when combined with Ketoconazole.,decrease,no risk
Ketoconazole,Bezafibrate,The metabolism of Bezafibrate can be decreased when combined with Ketoconazole.,decrease,no risk
Ketoconazole,Bicalutamide,The metabolism of Bicalutamide can be decreased when combined with Ketoconazole.,decrease,no risk
Ketoconazole,Bictegravir,The metabolism of Bictegravir can be decreased when combined with Ketoconazole.,decrease,no risk
Ketoconazole,Bilastine,The risk or severity of QTc prolongation can be increased when Ketoconazole is combined with Bilastine.,increase,risk
Ketoconazole,Binimetinib,The serum concentration of Binimetinib can be increased when it is combined with Ketoconazole.,increase,no risk
Ketoconazole,Bismuth subnitrate,Bismuth subnitrate can cause a decrease in the absorption of Ketoconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.,decrease,no risk
Ketoconazole,Bisoprolol,The metabolism of Bisoprolol can be decreased when combined with Ketoconazole.,decrease,no risk
Ketoconazole,Boceprevir,The serum concentration of Boceprevir can be increased when it is combined with Ketoconazole.,increase,no risk
Ketoconazole,Bortezomib,The metabolism of Bortezomib can be decreased when combined with Ketoconazole.,decrease,no risk
Ketoconazole,Bosentan,The metabolism of Bosentan can be decreased when combined with Ketoconazole.,decrease,no risk
Ketoconazole,Bosutinib,The serum concentration of Bosutinib can be increased when it is combined with Ketoconazole.,increase,no risk
Ketoconazole,Botulinum toxin type A,The therapeutic efficacy of Botulinum toxin type A can be increased when used in combination with Ketoconazole.,increase,no risk
Ketoconazole,Brentuximab vedotin,The serum concentration of Brentuximab vedotin can be increased when it is combined with Ketoconazole.,increase,no risk
Ketoconazole,Bretylium,The risk or severity of QTc prolongation can be increased when Ketoconazole is combined with Bretylium.,increase,risk
Ketoconazole,Brexpiprazole,The metabolism of Brexpiprazole can be decreased when combined with Ketoconazole.,decrease,no risk
Ketoconazole,Brigatinib,The metabolism of Brigatinib can be decreased when combined with Ketoconazole.,decrease,no risk
