DrugA,DrugB,Interaction,Mechanism,risk_level
Benzatropine,Budesonide,Benzatropine may decrease the excretion rate of Budesonide which could result in a higher serum level.,decrease,no risk
Benzatropine,Bumadizone,Bumadizone may decrease the excretion rate of Benzatropine which could result in a higher serum level.,decrease,no risk
Benzatropine,Bumetanide,Bumetanide may increase the excretion rate of Benzatropine which could result in a lower serum level and potentially a reduction in efficacy.,increase,no risk
Benzatropine,Bupivacaine,The metabolism of Bupivacaine can be decreased when combined with Benzatropine.,decrease,no risk
Benzatropine,Buprenorphine,The risk or severity of adverse effects can be increased when Benzatropine is combined with Buprenorphine.,increase,risk
Benzatropine,Bupropion,The risk or severity of adverse effects can be increased when Bupropion is combined with Benzatropine.,increase,risk
Benzatropine,Buserelin,The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Buserelin.,increase,risk
Benzatropine,Buspirone,The risk or severity of adverse effects can be increased when Buspirone is combined with Benzatropine.,increase,risk
Benzatropine,Butabarbital,The risk or severity of adverse effects can be increased when Butabarbital is combined with Benzatropine.,increase,risk
Benzatropine,Butalbital,The risk or severity of adverse effects can be increased when Butalbital is combined with Benzatropine.,increase,risk
Benzatropine,Butobarbital,The risk or severity of adverse effects can be increased when Benzatropine is combined with Butobarbital.,increase,risk
Benzatropine,Butorphanol,The risk or severity of adverse effects can be increased when Benzatropine is combined with Butorphanol.,increase,risk
Benzatropine,Butriptyline,The risk or severity of adverse effects can be increased when Benzatropine is combined with Butriptyline.,increase,risk
Benzatropine,Butylscopolamine,The risk or severity of adverse effects can be increased when Benzatropine is combined with Butylscopolamine.,increase,risk
Benzatropine,Gabapentin enacarbil,Benzatropine may decrease the excretion rate of Gabapentin enacarbil which could result in a higher serum level.,decrease,no risk
Benzatropine,Gadobenic acid,The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Gadobenic acid.,increase,risk
Benzatropine,Gadodiamide,Gadodiamide may decrease the excretion rate of Benzatropine which could result in a higher serum level.,decrease,no risk
Benzatropine,Gadofosveset trisodium,Benzatropine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.,decrease,no risk
Benzatropine,Gadopentetic acid,Benzatropine may decrease the excretion rate of Gadopentetic acid which could result in a higher serum level.,decrease,no risk
