DrugA,DrugB,Interaction,Mechanism,risk_level
Thiabendazole,Neomycin,Thiabendazole may decrease the excretion rate of Neomycin which could result in a higher serum level.,decrease,no risk
Thiabendazole,Netilmicin,Thiabendazole may decrease the excretion rate of Netilmicin which could result in a higher serum level.,decrease,no risk
Thiabendazole,Nevirapine,The metabolism of Thiabendazole can be decreased when combined with Nevirapine.,decrease,no risk
Thiabendazole,Niclosamide,The metabolism of Thiabendazole can be decreased when combined with Niclosamide.,decrease,no risk
Thiabendazole,Nicorandil,Thiabendazole may decrease the excretion rate of Nicorandil which could result in a higher serum level.,decrease,no risk
Thiabendazole,Nifedipine,The metabolism of Nifedipine can be decreased when combined with Thiabendazole.,decrease,no risk
Thiabendazole,Nilutamide,Nilutamide may decrease the excretion rate of Thiabendazole which could result in a higher serum level.,decrease,no risk
Thiabendazole,Nimesulide,Nimesulide may decrease the excretion rate of Thiabendazole which could result in a higher serum level.,decrease,no risk
Thiabendazole,Nisoldipine,Nisoldipine may decrease the excretion rate of Thiabendazole which could result in a higher serum level.,decrease,no risk
Thiabendazole,Nitric Oxide,Nitric Oxide may decrease the excretion rate of Thiabendazole which could result in a higher serum level.,decrease,no risk
Thiabendazole,Nitrofurantoin,Nitrofurantoin may decrease the excretion rate of Thiabendazole which could result in a higher serum level.,decrease,no risk
Thiabendazole,Nitroprusside,Nitroprusside may decrease the excretion rate of Thiabendazole which could result in a higher serum level.,decrease,no risk
Thiabendazole,Norfloxacin,The metabolism of Thiabendazole can be decreased when combined with Norfloxacin.,decrease,no risk
Thiabendazole,Obeticholic acid,The metabolism of Thiabendazole can be decreased when combined with Obeticholic acid.,decrease,no risk
Thiabendazole,Octinoxate,Thiabendazole may decrease the excretion rate of Octinoxate which could result in a higher serum level.,decrease,no risk
Thiabendazole,Olanzapine,The metabolism of Olanzapine can be decreased when combined with Thiabendazole.,decrease,no risk
Thiabendazole,Olsalazine,Olsalazine may decrease the excretion rate of Thiabendazole which could result in a higher serum level.,decrease,no risk
Thiabendazole,Ondansetron,The metabolism of Ondansetron can be decreased when combined with Thiabendazole.,decrease,no risk
Thiabendazole,Opium,Thiabendazole may decrease the excretion rate of Opium which could result in a higher serum level.,decrease,no risk
Thiabendazole,Orphenadrine,The metabolism of Thiabendazole can be decreased when combined with Orphenadrine.,decrease,no risk
Thiabendazole,Oseltamivir,Oseltamivir may decrease the excretion rate of Thiabendazole which could result in a higher serum level.,decrease,no risk
Thiabendazole,Osilodrostat,The metabolism of Thiabendazole can be decreased when combined with Osilodrostat.,decrease,no risk
Thiabendazole,Osimertinib,The serum concentration of Thiabendazole can be decreased when it is combined with Osimertinib.,decrease,no risk
Thiabendazole,Oxacillin,Oxacillin may decrease the excretion rate of Thiabendazole which could result in a higher serum level.,decrease,no risk
Thiabendazole,Oxaprozin,Oxaprozin may decrease the excretion rate of Thiabendazole which could result in a higher serum level.,decrease,no risk
Thiabendazole,Oxazepam,Thiabendazole may decrease the excretion rate of Oxazepam which could result in a higher serum level.,decrease,no risk
Thiabendazole,Oxtriphylline,The metabolism of Oxtriphylline can be decreased when combined with Thiabendazole.,decrease,no risk
Thiabendazole,Oxybenzone,Thiabendazole may decrease the excretion rate of Oxybenzone which could result in a higher serum level.,decrease,no risk
Thiabendazole,Oxyphenbutazone,Oxyphenbutazone may decrease the excretion rate of Thiabendazole which could result in a higher serum level.,decrease,no risk
Thiabendazole,Oxyquinoline,Thiabendazole may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.,decrease,no risk
Thiabendazole,Quetiapine,Thiabendazole may decrease the excretion rate of Quetiapine which could result in a higher serum level.,decrease,no risk
Thiabendazole,Quinethazone,Quinethazone may increase the excretion rate of Thiabendazole which could result in a lower serum level and potentially a reduction in efficacy.,increase,no risk
Thiabendazole,Quinidine,The metabolism of Thiabendazole can be decreased when combined with Quinidine.,decrease,no risk
Thiabendazole,Quinine,The metabolism of Quinine can be decreased when combined with Thiabendazole.,decrease,no risk
Thiabendazole,Vaborbactam,Thiabendazole may decrease the excretion rate of Vaborbactam which could result in a higher serum level.,decrease,no risk
Thiabendazole,Valaciclovir,Valaciclovir may decrease the excretion rate of Thiabendazole which could result in a higher serum level.,decrease,no risk
Thiabendazole,Valbenazine,Thiabendazole may decrease the excretion rate of Valbenazine which could result in a higher serum level.,decrease,no risk
Thiabendazole,Valdecoxib,Valdecoxib may decrease the excretion rate of Thiabendazole which could result in a higher serum level.,decrease,no risk
Thiabendazole,Valganciclovir,Thiabendazole may decrease the excretion rate of Valganciclovir which could result in a higher serum level.,decrease,no risk
Thiabendazole,Valproic acid,The metabolism of Thiabendazole can be decreased when combined with Valproic acid.,decrease,no risk
Thiabendazole,Vancomycin,Thiabendazole may decrease the excretion rate of Vancomycin which could result in a higher serum level.,decrease,no risk
Thiabendazole,Varenicline,Thiabendazole may decrease the excretion rate of Varenicline which could result in a higher serum level.,decrease,no risk
Thiabendazole,Vemurafenib,The serum concentration of Thiabendazole can be increased when it is combined with Vemurafenib.,increase,no risk
Thiabendazole,Venlafaxine,Venlafaxine may decrease the excretion rate of Thiabendazole which could result in a higher serum level.,decrease,no risk
Thiabendazole,Verapamil,The metabolism of Verapamil can be decreased when combined with Thiabendazole.,decrease,no risk
