DrugA,DrugB,Interaction,Mechanism,risk_level
Interferon alfa-n1,Gemcitabine,The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Gemcitabine.,increase,risk
Interferon alfa-n1,Gemtuzumab ozogamicin,The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Gemtuzumab ozogamicin.,increase,risk
Interferon alfa-n1,Glatiramer,The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Glatiramer.,increase,risk
Interferon alfa-n1,Golimumab,The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Golimumab.,increase,risk
Interferon alfa-n1,Grepafloxacin,The metabolism of Grepafloxacin can be decreased when combined with Interferon alfa-n1.,decrease,no risk
Interferon alfa-n1,Guanabenz,The metabolism of Guanabenz can be decreased when combined with Interferon alfa-n1.,decrease,no risk
Interferon alfa-n1,Guselkumab,The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Guselkumab.,increase,risk
Interferon alfa-n1,Haemophilus influenzae type B strain 20752 capsular polysaccharide tetanus toxoid conjugate antigen,The therapeutic efficacy of Haemophilus influenzae type B strain 20752 capsular polysaccharide tetanus toxoid conjugate antigen can be decreased when used in combination with Interferon alfa-n1.,decrease,no risk
Interferon alfa-n1,Haloperidol,The metabolism of Haloperidol can be decreased when combined with Interferon alfa-n1.,decrease,no risk
Interferon alfa-n1,Heparin,The risk or severity of bleeding can be increased when Heparin is combined with Interferon alfa-n1.,increase,risk
Interferon alfa-n1,Hepatitis A Vaccine,The therapeutic efficacy of Hepatitis A Vaccine can be decreased when used in combination with Interferon alfa-n1.,decrease,no risk
Interferon alfa-n1,Hepatitis B Vaccine (Recombinant),The therapeutic efficacy of Hepatitis B Vaccine (Recombinant) can be decreased when used in combination with Interferon alfa-n1.,decrease,no risk
Interferon alfa-n1,Human adenovirus e serotype 4 strain cl-68578 antigen,The risk or severity of infection can be increased when Human adenovirus e serotype 4 strain cl-68578 antigen is combined with Interferon alfa-n1.,increase,risk
Interferon alfa-n1,Hydrochlorothiazide,The risk or severity of neutropenia and thrombocytopenia can be increased when Hydrochlorothiazide is combined with Interferon alfa-n1.,increase,risk
Interferon alfa-n1,Hydrocortisone acetate,The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Hydrocortisone acetate.,increase,risk
Interferon alfa-n1,Hydrocortisone butyrate,The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Hydrocortisone butyrate.,increase,risk
Interferon alfa-n1,Hydrocortisone succinate,The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Hydrocortisone succinate.,increase,risk
Interferon alfa-n1,Hydroflumethiazide,The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Interferon alfa-n1.,increase,risk
Interferon alfa-n1,Hydroxychloroquine,The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Hydroxychloroquine.,increase,risk
Interferon alfa-n1,Hydroxyurea,The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Hydroxyurea.,increase,risk
Interferon alfa-n1,Janssen COVID-19 Vaccine,The therapeutic efficacy of Janssen COVID-19 Vaccine can be decreased when used in combination with Interferon alfa-n1.,decrease,no risk
Interferon alfa-n1,Japanese encephalitis virus strain sa 14-14-2 antigen (formaldehyde inactivated),The therapeutic efficacy of Japanese encephalitis virus strain sa 14-14-2 antigen (formaldehyde inactivated) can be decreased when used in combination with Interferon alfa-n1.,decrease,no risk
Interferon alfa-n1,Obinutuzumab,The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Obinutuzumab.,increase,risk
Interferon alfa-n1,Ocrelizumab,The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Ocrelizumab.,increase,risk
Interferon alfa-n1,Ofatumumab,The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Ofatumumab.,increase,risk
Interferon alfa-n1,Olanzapine,The metabolism of Olanzapine can be decreased when combined with Interferon alfa-n1.,decrease,no risk
