DrugA,DrugB,Interaction,Mechanism,risk_level
Certolizumab pegol,Brigatinib,The metabolism of Brigatinib can be increased when combined with Certolizumab pegol.,increase,no risk
Certolizumab pegol,Brivaracetam,The metabolism of Brivaracetam can be increased when combined with Certolizumab pegol.,increase,no risk
Certolizumab pegol,Brodalumab,The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Brodalumab.,increase,risk
Certolizumab pegol,Brolucizumab,The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Brolucizumab.,increase,risk
Certolizumab pegol,Bromazepam,The metabolism of Bromazepam can be increased when combined with Certolizumab pegol.,increase,no risk
Certolizumab pegol,Bromotheophylline,The metabolism of Bromotheophylline can be increased when combined with Certolizumab pegol.,increase,no risk
Certolizumab pegol,Brompheniramine,The metabolism of Brompheniramine can be increased when combined with Certolizumab pegol.,increase,no risk
Certolizumab pegol,Budesonide,The risk or severity of adverse effects can be increased when Budesonide is combined with Certolizumab pegol.,increase,risk
Certolizumab pegol,Bumadizone,Bumadizone may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.,decrease,no risk
Certolizumab pegol,Bumetanide,Bumetanide may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.,increase,no risk
Certolizumab pegol,Bupivacaine,The metabolism of Bupivacaine can be increased when combined with Certolizumab pegol.,increase,no risk
Certolizumab pegol,Buprenorphine,The metabolism of Buprenorphine can be increased when combined with Certolizumab pegol.,increase,no risk
Certolizumab pegol,Bupropion,The metabolism of Bupropion can be increased when combined with Certolizumab pegol.,increase,no risk
Certolizumab pegol,Burosumab,The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Burosumab.,increase,risk
Certolizumab pegol,Buspirone,The metabolism of Buspirone can be increased when combined with Certolizumab pegol.,increase,no risk
Certolizumab pegol,Busulfan,The metabolism of Busulfan can be increased when combined with Certolizumab pegol.,increase,no risk
Certolizumab pegol,Butabarbital,Butabarbital may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.,decrease,no risk
Certolizumab pegol,Gabapentin enacarbil,Gabapentin enacarbil may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.,decrease,no risk
Certolizumab pegol,Gadobenic acid,Gadobenic acid may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.,decrease,no risk
Certolizumab pegol,Gadodiamide,Gadodiamide may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.,decrease,no risk
Certolizumab pegol,Gadofosveset trisodium,Gadofosveset trisodium may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.,decrease,no risk
Certolizumab pegol,Gadopentetic acid,Gadopentetic acid may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.,decrease,no risk
Certolizumab pegol,Gadoteric acid,Certolizumab pegol may decrease the excretion rate of Gadoteric acid which could result in a higher serum level.,decrease,no risk
Certolizumab pegol,Gadoteridol,Gadoteridol may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.,decrease,no risk
Certolizumab pegol,Galantamine,The metabolism of Galantamine can be increased when combined with Certolizumab pegol.,increase,no risk
Certolizumab pegol,Galcanezumab,The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Galcanezumab.,increase,risk
Certolizumab pegol,Ganciclovir,Ganciclovir may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.,decrease,no risk
Certolizumab pegol,Gefitinib,The metabolism of Gefitinib can be increased when combined with Certolizumab pegol.,increase,no risk
Certolizumab pegol,Gemcitabine,The risk or severity of adverse effects can be increased when Gemcitabine is combined with Certolizumab pegol.,increase,risk
Certolizumab pegol,Gemfibrozil,Gemfibrozil may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.,decrease,no risk
Certolizumab pegol,Gemtuzumab ozogamicin,The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Certolizumab pegol.,increase,risk
Certolizumab pegol,Gentamicin,Certolizumab pegol may decrease the excretion rate of Gentamicin which could result in a higher serum level.,decrease,no risk
Certolizumab pegol,Gilteritinib,The metabolism of Gilteritinib can be increased when combined with Certolizumab pegol.,increase,no risk
Certolizumab pegol,Gimeracil,Certolizumab pegol may decrease the excretion rate of Gimeracil which could result in a higher serum level.,decrease,no risk
