DrugA,DrugB,Interaction,Mechanism,risk_level
Lorcaserin,Obeticholic acid,The metabolism of Lorcaserin can be decreased when combined with Obeticholic acid.,decrease,no risk
Lorcaserin,Octinoxate,Lorcaserin may decrease the excretion rate of Octinoxate which could result in a higher serum level.,decrease,no risk
Lorcaserin,Olanzapine,The metabolism of Olanzapine can be decreased when combined with Lorcaserin.,decrease,no risk
Lorcaserin,Oliceridine,"The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Lorcaserin is combined with Oliceridine.",increase,risk
Lorcaserin,Olsalazine,Olsalazine may decrease the excretion rate of Lorcaserin which could result in a higher serum level.,decrease,no risk
Lorcaserin,Omaveloxolone,The serum concentration of Lorcaserin can be decreased when it is combined with Omaveloxolone.,decrease,no risk
Lorcaserin,Ondansetron,The metabolism of Ondansetron can be decreased when combined with Lorcaserin.,decrease,no risk
Lorcaserin,Opium,The metabolism of Opium can be decreased when combined with Lorcaserin.,decrease,no risk
Lorcaserin,Oritavancin,The metabolism of Lorcaserin can be decreased when combined with Oritavancin.,decrease,no risk
Lorcaserin,Orphenadrine,Lorcaserin may increase the central nervous system depressant (CNS depressant) activities of Orphenadrine.,increase,no risk
Lorcaserin,Oseltamivir,Oseltamivir may decrease the excretion rate of Lorcaserin which could result in a higher serum level.,decrease,no risk
Lorcaserin,Osilodrostat,The metabolism of Lorcaserin can be decreased when combined with Osilodrostat.,decrease,no risk
Lorcaserin,Osimertinib,The serum concentration of Lorcaserin can be decreased when it is combined with Osimertinib.,decrease,no risk
Lorcaserin,Ospemifene,The metabolism of Ospemifene can be decreased when combined with Lorcaserin.,decrease,no risk
Lorcaserin,Oxacillin,Oxacillin may decrease the excretion rate of Lorcaserin which could result in a higher serum level.,decrease,no risk
Lorcaserin,Oxamniquine,The metabolism of Lorcaserin can be decreased when combined with Oxamniquine.,decrease,no risk
Lorcaserin,Oxaprozin,Oxaprozin may decrease the excretion rate of Lorcaserin which could result in a higher serum level.,decrease,no risk
Lorcaserin,Oxazepam,The risk or severity of CNS depression can be increased when Oxazepam is combined with Lorcaserin.,increase,risk
Lorcaserin,Oxcarbazepine,The risk or severity of CNS depression can be increased when Oxcarbazepine is combined with Lorcaserin.,increase,risk
Lorcaserin,Oxitriptan,The risk or severity of CNS depression can be increased when Oxitriptan is combined with Lorcaserin.,increase,risk
Lorcaserin,Oxprenolol,The metabolism of Oxprenolol can be decreased when combined with Lorcaserin.,decrease,no risk
Lorcaserin,Oxtriphylline,The metabolism of Lorcaserin can be decreased when combined with Oxtriphylline.,decrease,no risk
Lorcaserin,Oxybenzone,Oxybenzone may decrease the excretion rate of Lorcaserin which could result in a higher serum level.,decrease,no risk
Lorcaserin,Oxybuprocaine,The risk or severity of CNS depression can be increased when Oxybuprocaine is combined with Lorcaserin.,increase,risk
Lorcaserin,Oxybutynin,The metabolism of Lorcaserin can be decreased when combined with Oxybutynin.,decrease,no risk
Lorcaserin,Oxycodone,The metabolism of Oxycodone can be decreased when combined with Lorcaserin.,decrease,no risk
Lorcaserin,Oxymorphone,The metabolism of Oxymorphone can be decreased when combined with Lorcaserin.,decrease,no risk
Lorcaserin,Oxyphenbutazone,Oxyphenbutazone may decrease the excretion rate of Lorcaserin which could result in a higher serum level.,decrease,no risk
Lorcaserin,Oxyquinoline,Lorcaserin may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.,decrease,no risk
Lorcaserin,Quazepam,The risk or severity of CNS depression can be increased when Quazepam is combined with Lorcaserin.,increase,risk
Lorcaserin,Quetiapine,The metabolism of Quetiapine can be decreased when combined with Lorcaserin.,decrease,no risk
Lorcaserin,Quinethazone,Quinethazone may increase the excretion rate of Lorcaserin which could result in a lower serum level and potentially a reduction in efficacy.,increase,no risk
Lorcaserin,Quinidine,The metabolism of Lorcaserin can be decreased when combined with Quinidine.,decrease,no risk
Lorcaserin,Quinine,The metabolism of Lorcaserin can be decreased when combined with Quinine.,decrease,no risk
Lorcaserin,Quinupramine,The risk or severity of CNS depression can be increased when Lorcaserin is combined with Quinupramine.,increase,risk
Lorcaserin,Umeclidinium,The metabolism of Umeclidinium can be decreased when combined with Lorcaserin.,decrease,no risk
Lorcaserin,Urethane,The risk or severity of CNS depression can be increased when Urethane is combined with Lorcaserin.,increase,risk
Lorcaserin,Vaborbactam,Lorcaserin may decrease the excretion rate of Vaborbactam which could result in a higher serum level.,decrease,no risk
Lorcaserin,Vadadustat,The serum concentration of Lorcaserin can be decreased when it is combined with Vadadustat.,decrease,no risk
Lorcaserin,Valaciclovir,Valaciclovir may decrease the excretion rate of Lorcaserin which could result in a higher serum level.,decrease,no risk
Lorcaserin,Valbenazine,The metabolism of Valbenazine can be decreased when combined with Lorcaserin.,decrease,no risk
Lorcaserin,Valdecoxib,Valdecoxib may decrease the excretion rate of Lorcaserin which could result in a higher serum level.,decrease,no risk
Lorcaserin,Valganciclovir,Valganciclovir may decrease the excretion rate of Lorcaserin which could result in a higher serum level.,decrease,no risk
Lorcaserin,Valproate bismuth,The risk or severity of serotonin syndrome can be increased when Lorcaserin is combined with Valproate bismuth.,increase,risk
Lorcaserin,Valproic acid,The risk or severity of CNS depression can be increased when Valproic acid is combined with Lorcaserin.,increase,risk
Lorcaserin,Vancomycin,Lorcaserin may decrease the excretion rate of Vancomycin which could result in a higher serum level.,decrease,no risk
Lorcaserin,Varenicline,Varenicline may decrease the excretion rate of Lorcaserin which could result in a higher serum level.,decrease,no risk
Lorcaserin,Vecuronium,The risk or severity of CNS depression can be increased when Vecuronium is combined with Lorcaserin.,increase,risk
Lorcaserin,Velpatasvir,The metabolism of Velpatasvir can be decreased when combined with Lorcaserin.,decrease,no risk
Lorcaserin,Vemurafenib,The serum concentration of Lorcaserin can be increased when it is combined with Vemurafenib.,increase,no risk
Lorcaserin,Venetoclax,The metabolism of Lorcaserin can be decreased when combined with Venetoclax.,decrease,no risk
Lorcaserin,Venlafaxine,The risk or severity of serotonin syndrome can be increased when Lorcaserin is combined with Venlafaxine.,increase,risk
Lorcaserin,Verapamil,The metabolism of Lorcaserin can be decreased when combined with Verapamil.,decrease,no risk
Lorcaserin,Vernakalant,The metabolism of Vernakalant can be decreased when combined with Lorcaserin.,decrease,no risk
Lorcaserin,Vigabatrin,The risk or severity of CNS depression can be increased when Vigabatrin is combined with Lorcaserin.,increase,risk
Lorcaserin,Vilanterol,Lorcaserin may decrease the excretion rate of Vilanterol which could result in a higher serum level.,decrease,no risk
Lorcaserin,Vilazodone,The metabolism of Vilazodone can be decreased when combined with Lorcaserin.,decrease,no risk
Lorcaserin,Viloxazine,The metabolism of Lorcaserin can be decreased when combined with Viloxazine.,decrease,no risk
Lorcaserin,Vinblastine,The metabolism of Lorcaserin can be decreased when combined with Vinblastine.,decrease,no risk
Lorcaserin,Vinorelbine,The metabolism of Lorcaserin can be decreased when combined with Vinorelbine.,decrease,no risk
Lorcaserin,Voriconazole,The metabolism of Lorcaserin can be decreased when combined with Voriconazole.,decrease,no risk
Lorcaserin,Vortioxetine,The metabolism of Vortioxetine can be decreased when combined with Lorcaserin.,decrease,no risk
Lorcaserin,Voxelotor,The metabolism of Voxelotor can be decreased when combined with Lorcaserin.,decrease,no risk
Lorcaserin,Voxilaprevir,The metabolism of Voxilaprevir can be decreased when combined with Lorcaserin.,decrease,no risk
Lorcaserin,Warfarin,Lorcaserin may decrease the excretion rate of Warfarin which could result in a higher serum level.,decrease,no risk
Lorcaserin,Yohimbine,The metabolism of Yohimbine can be decreased when combined with Lorcaserin.,decrease,no risk
Lorcaserin,Zaleplon,The risk or severity of CNS depression can be increased when Zaleplon is combined with Lorcaserin.,increase,risk
Lorcaserin,Zanamivir,Zanamivir may decrease the excretion rate of Lorcaserin which could result in a higher serum level.,decrease,no risk
Lorcaserin,Zanubrutinib,The metabolism of Zanubrutinib can be decreased when combined with Lorcaserin.,decrease,no risk
Lorcaserin,Ziconotide,The risk or severity of CNS depression can be increased when Lorcaserin is combined with Ziconotide.,increase,risk
Lorcaserin,Zidovudine,The metabolism of Lorcaserin can be decreased when combined with Zidovudine.,decrease,no risk
Lorcaserin,Zileuton,The metabolism of Lorcaserin can be decreased when combined with Zileuton.,decrease,no risk
Lorcaserin,Zimelidine,The risk or severity of adverse effects can be increased when Lorcaserin is combined with Zimelidine.,increase,risk
Lorcaserin,Ziprasidone,The risk or severity of adverse effects can be increased when Lorcaserin is combined with Ziprasidone.,increase,risk
Lorcaserin,Zolmitriptan,The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Lorcaserin.,increase,risk
Lorcaserin,Zolpidem,Lorcaserin may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.,increase,no risk
Lorcaserin,Zonisamide,The risk or severity of CNS depression can be increased when Zonisamide is combined with Lorcaserin.,increase,risk
Lorcaserin,Zopiclone,The risk or severity of adverse effects can be increased when Lorcaserin is combined with Zopiclone.,increase,risk
Lorcaserin,Zotepine,The risk or severity of adverse effects can be increased when Lorcaserin is combined with Zotepine.,increase,risk
Lorcaserin,Zuclopenthixol,The metabolism of Zuclopenthixol can be decreased when combined with Lorcaserin.,decrease,no risk
Lorcaserin,Zuranolone,The risk or severity of CNS depression can be increased when Zuranolone is combined with Lorcaserin.,increase,risk
Osanetant,Gabapentin,The risk or severity of CNS depression can be increased when Gabapentin is combined with Osanetant.,increase,risk
Osanetant,Gabapentin enacarbil,The risk or severity of CNS depression can be increased when Osanetant is combined with Gabapentin enacarbil.,increase,risk
Osanetant,Gallamine triethiodide,The risk or severity of CNS depression can be increased when Gallamine triethiodide is combined with Osanetant.,increase,risk
Osanetant,Ganaxolone,"The risk or severity of sedation, somnolence, and CNS depression can be increased when Osanetant is combined with Ganaxolone.",increase,risk
Osanetant,Gepirone,The risk or severity of CNS depression can be increased when Osanetant is combined with Gepirone.,increase,risk
Osanetant,Glutethimide,The risk or severity of CNS depression can be increased when Glutethimide is combined with Osanetant.,increase,risk
Osanetant,Granisetron,The risk or severity of CNS depression can be increased when Granisetron is combined with Osanetant.,increase,risk
Osanetant,Guanfacine,The risk or severity of CNS depression can be increased when Guanfacine is combined with Osanetant.,increase,risk
Osanetant,Halazepam,The risk or severity of CNS depression can be increased when Halazepam is combined with Osanetant.,increase,risk
Osanetant,Haloperidol,The risk or severity of CNS depression can be increased when Haloperidol is combined with Osanetant.,increase,risk
Osanetant,Halothane,The risk or severity of CNS depression can be increased when Halothane is combined with Osanetant.,increase,risk
Osanetant,Hexafluronium,The risk or severity of CNS depression can be increased when Hexafluronium is combined with Osanetant.,increase,risk
Osanetant,Hydrocodone,Osanetant may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.,increase,no risk
Osanetant,Hydromorphone,The risk or severity of CNS depression can be increased when Hydromorphone is combined with Osanetant.,increase,risk
Osanetant,Hydroxyzine,Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Osanetant.,increase,no risk
Osanetant,Ketamine,The risk or severity of CNS depression can be increased when Ketamine is combined with Osanetant.,increase,risk
Osanetant,Ketazolam,The risk or severity of CNS depression can be increased when Ketazolam is combined with Osanetant.,increase,risk
Osanetant,Olanzapine,The risk or severity of CNS depression can be increased when Olanzapine is combined with Osanetant.,increase,risk
Osanetant,Oliceridine,"The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Osanetant is combined with Oliceridine.",increase,risk
Osanetant,Ondansetron,The risk or severity of CNS depression can be increased when Ondansetron is combined with Osanetant.,increase,risk
Osanetant,Opium,The risk or severity of CNS depression can be increased when Osanetant is combined with Opium.,increase,risk
Osanetant,Orphenadrine,Osanetant may increase the central nervous system depressant (CNS depressant) activities of Orphenadrine.,increase,no risk
Osanetant,Oxazepam,The risk or severity of CNS depression can be increased when Oxazepam is combined with Osanetant.,increase,risk
Osanetant,Oxcarbazepine,The risk or severity of CNS depression can be increased when Oxcarbazepine is combined with Osanetant.,increase,risk
Osanetant,Oxitriptan,The risk or severity of CNS depression can be increased when Oxitriptan is combined with Osanetant.,increase,risk
Osanetant,Oxprenolol,The risk or severity of CNS depression can be increased when Oxprenolol is combined with Osanetant.,increase,risk
Osanetant,Oxybuprocaine,The risk or severity of CNS depression can be increased when Oxybuprocaine is combined with Osanetant.,increase,risk
Osanetant,Oxycodone,The risk or severity of CNS depression can be increased when Oxycodone is combined with Osanetant.,increase,risk
Osanetant,Oxymorphone,The risk or severity of CNS depression can be increased when Oxymorphone is combined with Osanetant.,increase,risk
Osanetant,Quazepam,The risk or severity of CNS depression can be increased when Quazepam is combined with Osanetant.,increase,risk
Osanetant,Quetiapine,The risk or severity of CNS depression can be increased when Quetiapine is combined with Osanetant.,increase,risk
Osanetant,Quinagolide,The therapeutic efficacy of Quinagolide can be decreased when used in combination with Osanetant.,decrease,no risk
Osanetant,Quinine,The risk or severity of CNS depression can be increased when Quinine is combined with Osanetant.,increase,risk
Osanetant,Quinupramine,The risk or severity of CNS depression can be increased when Osanetant is combined with Quinupramine.,increase,risk
Osanetant,Urethane,The risk or severity of CNS depression can be increased when Urethane is combined with Osanetant.,increase,risk
Osanetant,Valproate bismuth,Osanetant may increase the neurotoxic activities of Valproate bismuth.,increase,no risk
Osanetant,Valproic acid,The risk or severity of CNS depression can be increased when Valproic acid is combined with Osanetant.,increase,risk
Osanetant,Vecuronium,The risk or severity of CNS depression can be increased when Vecuronium is combined with Osanetant.,increase,risk
Osanetant,Venlafaxine,The risk or severity of adverse effects can be increased when Venlafaxine is combined with Osanetant.,increase,risk
Osanetant,Vigabatrin,The risk or severity of CNS depression can be increased when Vigabatrin is combined with Osanetant.,increase,risk
Osanetant,Vilazodone,The risk or severity of adverse effects can be increased when Vilazodone is combined with Osanetant.,increase,risk
Osanetant,Viloxazine,The risk or severity of CNS depression can be increased when Osanetant is combined with Viloxazine.,increase,risk
Osanetant,Vincristine,Vincristine may increase the neurotoxic activities of Osanetant.,increase,no risk
Osanetant,Vinorelbine,Vinorelbine may increase the neurotoxic activities of Osanetant.,increase,no risk
Osanetant,Viomycin,Osanetant may increase the neurotoxic activities of Viomycin.,increase,no risk
Osanetant,Vortioxetine,The risk or severity of adverse effects can be increased when Vortioxetine is combined with Osanetant.,increase,risk
Osanetant,Yohimbine,The risk or severity of CNS depression can be increased when Yohimbine is combined with Osanetant.,increase,risk
Osanetant,Zaleplon,The risk or severity of CNS depression can be increased when Zaleplon is combined with Osanetant.,increase,risk
Osanetant,Ziconotide,The risk or severity of CNS depression can be increased when Osanetant is combined with Ziconotide.,increase,risk
Osanetant,Zimelidine,The risk or severity of adverse effects can be increased when Osanetant is combined with Zimelidine.,increase,risk
Osanetant,Ziprasidone,The risk or severity of adverse effects can be increased when Osanetant is combined with Ziprasidone.,increase,risk
Osanetant,Zolmitriptan,The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Osanetant.,increase,risk
Osanetant,Zolpidem,Osanetant may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.,increase,no risk
Osanetant,Zonisamide,The risk or severity of CNS depression can be increased when Zonisamide is combined with Osanetant.,increase,risk
Osanetant,Zopiclone,The risk or severity of adverse effects can be increased when Osanetant is combined with Zopiclone.,increase,risk
Osanetant,Zotepine,The risk or severity of CNS depression can be increased when Osanetant is combined with Zotepine.,increase,risk
Osanetant,Zuclopenthixol,The risk or severity of CNS depression can be increased when Zuclopenthixol is combined with Osanetant.,increase,risk
Osanetant,Zuranolone,The risk or severity of CNS depression can be increased when Zuranolone is combined with Osanetant.,increase,risk
Vildagliptin,Gatifloxacin,The therapeutic efficacy of Vildagliptin can be increased when used in combination with Gatifloxacin.,increase,no risk
Vildagliptin,Gefapixant,The therapeutic efficacy of Vildagliptin can be increased when used in combination with Gefapixant.,increase,no risk
