DrugA,DrugB,Interaction,Mechanism,risk_level
Raxibacumab,Ublituximab,The risk or severity of adverse effects can be increased when Raxibacumab is combined with Ublituximab.,increase,risk
Raxibacumab,Ustekinumab,The risk or severity of adverse effects can be increased when Ustekinumab is combined with Raxibacumab.,increase,risk
Raxibacumab,Vedolizumab,The risk or severity of adverse effects can be increased when Raxibacumab is combined with Vedolizumab.,increase,risk
"Sar9, Met (O2)11-Substance P",Benzonatate,"The serum concentration of Sar9, Met (O2)11-Substance P can be increased when it is combined with Benzonatate.",increase,no risk
"Sar9, Met (O2)11-Substance P",Betaine,"Betaine may increase the neuromuscular blocking activities of Sar9, Met (O2)11-Substance P.",increase,no risk
"Sar9, Met (O2)11-Substance P",Galantamine,"Galantamine may increase the neuromuscular blocking activities of Sar9, Met (O2)11-Substance P.",increase,no risk
"Sar9, Met (O2)11-Substance P",Gallamine triethiodide,"Gallamine triethiodide may increase the neuromuscular blocking activities of Sar9, Met (O2)11-Substance P.",increase,no risk
"Sar9, Met (O2)11-Substance P",Ginkgo biloba,"Ginkgo biloba may increase the neuromuscular blocking activities of Sar9, Met (O2)11-Substance P.",increase,no risk
"Sar9, Met (O2)11-Substance P",Hexafluronium,"Hexafluronium may increase the neuromuscular blocking activities of Sar9, Met (O2)11-Substance P.",increase,no risk
"Sar9, Met (O2)11-Substance P",Huperzine A,"Huperzine A may increase the neuromuscular blocking activities of Sar9, Met (O2)11-Substance P.",increase,no risk
"Sar9, Met (O2)11-Substance P",Ketamine,"Ketamine may increase the neuromuscular blocking activities of Sar9, Met (O2)11-Substance P.",increase,no risk
"Sar9, Met (O2)11-Substance P",Oxybuprocaine,"The serum concentration of Sar9, Met (O2)11-Substance P can be increased when it is combined with Oxybuprocaine.",increase,no risk
Seletracetam,Galantamine,Galantamine may increase the bradycardic activities of Seletracetam.,increase,no risk
Seletracetam,Gallamine triethiodide,Seletracetam may increase the neuromuscular blocking activities of Gallamine triethiodide.,increase,no risk
Seletracetam,Gliclazide,The risk or severity of hypoglycemia can be increased when Seletracetam is combined with Gliclazide.,increase,risk
Seletracetam,Glimepiride,The risk or severity of hypoglycemia can be increased when Seletracetam is combined with Glimepiride.,increase,risk
Seletracetam,Glipizide,The risk or severity of hypoglycemia can be increased when Seletracetam is combined with Glipizide.,increase,risk
Seletracetam,Gliquidone,The risk or severity of hypoglycemia can be increased when Seletracetam is combined with Gliquidone.,increase,risk
Seletracetam,Glofitamab,The serum concentration of Seletracetam can be increased when it is combined with Glofitamab.,increase,no risk
Seletracetam,Gluconic Acid,The therapeutic efficacy of Gluconic Acid can be decreased when used in combination with Seletracetam.,decrease,no risk
Seletracetam,Glyburide,The risk or severity of hypoglycemia can be increased when Seletracetam is combined with Glyburide.,increase,risk
Seletracetam,Glycerin,The therapeutic efficacy of Glycerin can be decreased when used in combination with Seletracetam.,decrease,no risk
Seletracetam,Glymidine,The risk or severity of hypoglycemia can be increased when Seletracetam is combined with Glymidine.,increase,risk
Seletracetam,Guanfacine,Guanfacine may increase the bradycardic activities of Seletracetam.,increase,no risk
Seletracetam,Haloperidol,The serum concentration of Haloperidol can be increased when it is combined with Seletracetam.,increase,no risk
Inotuzumab ozogamicin,Galcanezumab,The risk or severity of adverse effects can be increased when Inotuzumab ozogamicin is combined with Galcanezumab.,increase,risk
