DrugA,DrugB,Interaction,Mechanism,risk_level
Bethanidine,Homatropine methylbromide,The risk or severity of Tachycardia can be increased when Bethanidine is combined with Homatropine methylbromide.,increase,risk
Bethanidine,Hyaluronidase,The risk or severity of adverse effects can be increased when Hyaluronidase is combined with Bethanidine.,increase,risk
Bethanidine,Hyaluronidase (human recombinant),The risk or severity of adverse effects can be increased when Hyaluronidase (human recombinant) is combined with Bethanidine.,increase,risk
Bethanidine,Hyaluronidase (ovine),The risk or severity of adverse effects can be increased when Hyaluronidase (ovine) is combined with Bethanidine.,increase,risk
Bethanidine,Hydralazine,Bethanidine may decrease the antihypertensive activities of Hydralazine.,decrease,no risk
Bethanidine,Hydrochlorothiazide,The therapeutic efficacy of Bethanidine can be increased when used in combination with Hydrochlorothiazide.,increase,no risk
Bethanidine,Hydroflumethiazide,The therapeutic efficacy of Bethanidine can be increased when used in combination with Hydroflumethiazide.,increase,no risk
Bethanidine,Hyoscyamine,The risk or severity of Tachycardia can be increased when Bethanidine is combined with Hyoscyamine.,increase,risk
Bethanidine,Ketamine,The risk or severity of Tachycardia can be increased when Bethanidine is combined with Ketamine.,increase,risk
Bethanidine,Ketoprofen,The therapeutic efficacy of Bethanidine can be decreased when used in combination with Ketoprofen.,decrease,no risk
Bethanidine,Ketorolac,The therapeutic efficacy of Bethanidine can be decreased when used in combination with Ketorolac.,decrease,no risk
Bethanidine,Nabilone,The risk or severity of Tachycardia can be increased when Bethanidine is combined with Nabilone.,increase,risk
Bethanidine,Nabumetone,The therapeutic efficacy of Bethanidine can be decreased when used in combination with Nabumetone.,decrease,no risk
Bethanidine,Nadolol,The therapeutic efficacy of Bethanidine can be decreased when used in combination with Nadolol.,decrease,no risk
Bethanidine,Naphazoline,Naphazoline may decrease the antihypertensive activities of Bethanidine.,decrease,no risk
Bethanidine,Naproxen,The therapeutic efficacy of Bethanidine can be decreased when used in combination with Naproxen.,decrease,no risk
Bethanidine,Naratriptan,Naratriptan may decrease the antihypertensive activities of Bethanidine.,decrease,no risk
Bethanidine,Naxitamab,Naxitamab may decrease the antihypertensive activities of Bethanidine.,decrease,no risk
Bethanidine,Nebivolol,The therapeutic efficacy of Bethanidine can be decreased when used in combination with Nebivolol.,decrease,no risk
Bethanidine,Nefazodone,Nefazodone may increase the tachycardic activities of Bethanidine.,increase,no risk
Bethanidine,Nesiritide,Nesiritide may increase the hypotensive activities of Bethanidine.,increase,no risk
Bethanidine,Nialamide,Nialamide may increase the hypotensive activities of Bethanidine.,increase,no risk
Bethanidine,Nicardipine,The therapeutic efficacy of Bethanidine can be decreased when used in combination with Nicardipine.,decrease,no risk
Bethanidine,Nicergoline,Nicergoline may increase the hypertensive and vasoconstricting activities of Bethanidine.,increase,no risk
Bethanidine,Nicorandil,Bethanidine may decrease the antihypertensive activities of Nicorandil.,decrease,no risk
Bethanidine,Nicotine,The risk or severity of Tachycardia can be increased when Nicotine is combined with Bethanidine.,increase,risk
Bethanidine,Nifedipine,Nifedipine may increase the hypotensive activities of Bethanidine.,increase,no risk
Bethanidine,Nilvadipine,Bethanidine may decrease the antihypertensive activities of Nilvadipine.,decrease,no risk
Bethanidine,Nimesulide,The therapeutic efficacy of Bethanidine can be decreased when used in combination with Nimesulide.,decrease,no risk
Bethanidine,Nimodipine,Bethanidine may decrease the antihypertensive activities of Nimodipine.,decrease,no risk
Bethanidine,Nisoldipine,Bethanidine may decrease the antihypertensive activities of Nisoldipine.,decrease,no risk
Bethanidine,Nitrendipine,Bethanidine may decrease the antihypertensive activities of Nitrendipine.,decrease,no risk
Bethanidine,Nitric Oxide,Nitric Oxide may increase the hypotensive activities of Bethanidine.,increase,no risk
Bethanidine,Nitroglycerin,Bethanidine may decrease the antihypertensive activities of Nitroglycerin.,decrease,no risk
Bethanidine,Nitroprusside,Bethanidine may decrease the antihypertensive activities of Nitroprusside.,decrease,no risk
Bethanidine,Nitrous acid,Nitrous acid may increase the hypotensive activities of Bethanidine.,increase,no risk
Bethanidine,Nitrous oxide,Nitrous oxide may decrease the antihypertensive activities of Bethanidine.,decrease,no risk
Bethanidine,Norepinephrine,Norepinephrine may decrease the antihypertensive activities of Bethanidine.,decrease,no risk
Bethanidine,Nortriptyline,The therapeutic efficacy of Bethanidine can be decreased when used in combination with Nortriptyline.,decrease,no risk
Bethanidine,Nylidrin,Nylidrin may decrease the antihypertensive activities of Bethanidine.,decrease,no risk
Bethanidine,Obinutuzumab,Bethanidine may increase the hypotensive activities of Obinutuzumab.,increase,no risk
Bethanidine,Olanzapine,The therapeutic efficacy of Bethanidine can be decreased when used in combination with Olanzapine.,decrease,no risk
Bethanidine,Olmesartan,Bethanidine may decrease the antihypertensive activities of Olmesartan.,decrease,no risk
Bethanidine,Olodaterol,Olodaterol may decrease the antihypertensive activities of Bethanidine.,decrease,no risk
Bethanidine,Opicapone,Opicapone may increase the hypotensive activities of Bethanidine.,increase,no risk
Bethanidine,Orciprenaline,Orciprenaline may decrease the antihypertensive activities of Bethanidine.,decrease,no risk
Bethanidine,Orphenadrine,The risk or severity of Tachycardia can be increased when Bethanidine is combined with Orphenadrine.,increase,risk
Bethanidine,Oxaprozin,The therapeutic efficacy of Bethanidine can be decreased when used in combination with Oxaprozin.,decrease,no risk
Bethanidine,Oxprenolol,The therapeutic efficacy of Bethanidine can be decreased when used in combination with Oxprenolol.,decrease,no risk
Bethanidine,Oxybutynin,The risk or severity of Tachycardia can be increased when Bethanidine is combined with Oxybutynin.,increase,risk
Bethanidine,Oxymetazoline,The therapeutic efficacy of Bethanidine can be decreased when used in combination with Oxymetazoline.,decrease,no risk
Bethanidine,Oxyphenbutazone,The therapeutic efficacy of Bethanidine can be decreased when used in combination with Oxyphenbutazone.,decrease,no risk
Bethanidine,Oxyphencyclimine,The risk or severity of Tachycardia can be increased when Bethanidine is combined with Oxyphencyclimine.,increase,risk
Bethanidine,Oxyphenonium,The risk or severity of Tachycardia can be increased when Bethanidine is combined with Oxyphenonium.,increase,risk
Bethanidine,Quetiapine,Quetiapine may increase the hypotensive activities of Bethanidine.,increase,no risk
Bethanidine,Quinapril,Bethanidine may decrease the antihypertensive activities of Quinapril.,decrease,no risk
Bethanidine,Quinidine,The therapeutic efficacy of Bethanidine can be decreased when used in combination with Quinidine.,decrease,no risk
Bethanidine,Quinine,Quinine may increase the hypotensive activities of Bethanidine.,increase,no risk
Bethanidine,Quinupramine,The risk or severity of hypertension can be increased when Quinupramine is combined with Bethanidine.,increase,risk
Bethanidine,Udenafil,Udenafil may increase the antihypertensive activities of Bethanidine.,increase,no risk
Bethanidine,Umeclidinium,The risk or severity of Tachycardia can be increased when Bethanidine is combined with Umeclidinium.,increase,risk
Bethanidine,Unoprostone,Bethanidine may increase the hypotensive activities of Unoprostone.,increase,no risk
Bethanidine,Valdecoxib,The therapeutic efficacy of Bethanidine can be decreased when used in combination with Valdecoxib.,decrease,no risk
Bethanidine,Valsartan,Bethanidine may decrease the antihypertensive activities of Valsartan.,decrease,no risk
Bethanidine,Vardenafil,Vardenafil may increase the antihypertensive activities of Bethanidine.,increase,no risk
Bethanidine,Venlafaxine,Venlafaxine may increase the tachycardic activities of Bethanidine.,increase,no risk
Bethanidine,Verapamil,The therapeutic efficacy of Bethanidine can be decreased when used in combination with Verapamil.,decrease,no risk
Bethanidine,Vericiguat,Vericiguat may increase the hypotensive activities of Bethanidine.,increase,no risk
Bethanidine,Vilanterol,Vilanterol may decrease the antihypertensive activities of Bethanidine.,decrease,no risk
Bethanidine,Vilazodone,Vilazodone may decrease the antihypertensive activities of Bethanidine.,decrease,no risk
Bethanidine,Vortioxetine,Vortioxetine may decrease the antihypertensive activities of Bethanidine.,decrease,no risk
Bethanidine,Xamoterol,Xamoterol may decrease the antihypertensive activities of Bethanidine.,decrease,no risk
