DrugA,DrugB,Interaction,Mechanism,risk_level
Mifepristone,Butalbital,The metabolism of Mifepristone can be increased when combined with Butalbital.,increase,no risk
Mifepristone,Butriptyline,The risk or severity of QTc prolongation can be increased when Butriptyline is combined with Mifepristone.,increase,risk
Mifepristone,Gabapentin,The serum concentration of Futibatinib can be increased when it is combined with Mifepristone.,increase,no risk
Mifepristone,Gadobenic acid,The metabolism of Mifepristone can be increased when combined with Gabapentin.,increase,no risk
Mifepristone,Gadoxetic acid,The risk or severity of QTc prolongation can be increased when Gadobenic acid is combined with Mifepristone.,increase,risk
Mifepristone,Galantamine,The excretion of Gadoxetic acid can be decreased when combined with Mifepristone.,decrease,no risk
Mifepristone,Ganaxolone,The risk or severity of QTc prolongation can be increased when Galantamine is combined with Mifepristone.,increase,risk
Mifepristone,Gatifloxacin,The metabolism of Mifepristone can be increased when combined with Ganaxolone.,increase,no risk
Mifepristone,Gefapixant,The therapeutic efficacy of Mifepristone can be increased when used in combination with Gatifloxacin.,increase,no risk
Mifepristone,Gefitinib,The therapeutic efficacy of Mifepristone can be increased when used in combination with Gefapixant.,increase,no risk
Mifepristone,Gemcitabine,The metabolism of Gefitinib can be decreased when combined with Mifepristone.,decrease,no risk
Mifepristone,Gemifloxacin,The serum concentration of Gemcitabine can be decreased when it is combined with Mifepristone.,decrease,no risk
Mifepristone,Gepirone,The risk or severity of QTc prolongation can be increased when Gemifloxacin is combined with Mifepristone.,increase,risk
Mifepristone,Gestrinone,The serum concentration of Gepirone can be increased when it is combined with Mifepristone.,increase,no risk
Mifepristone,Gilteritinib,The metabolism of Gestrinone can be increased when combined with Mifepristone.,increase,no risk
Mifepristone,Glasdegib,The risk or severity of QTc prolongation can be increased when Gilteritinib is combined with Mifepristone.,increase,risk
Mifepristone,Glecaprevir,The serum concentration of Glasdegib can be increased when it is combined with Mifepristone.,increase,no risk
Mifepristone,Gliclazide,The serum concentration of Glecaprevir can be increased when it is combined with Mifepristone.,increase,no risk
Mifepristone,Glimepiride,The therapeutic efficacy of Gliclazide can be decreased when used in combination with Mifepristone.,decrease,no risk
Mifepristone,Glipizide,The therapeutic efficacy of Glimepiride can be decreased when used in combination with Mifepristone.,decrease,no risk
Mifepristone,Gliquidone,The therapeutic efficacy of Glipizide can be decreased when used in combination with Mifepristone.,decrease,no risk
Mifepristone,Glofitamab,The therapeutic efficacy of Gliquidone can be decreased when used in combination with Mifepristone.,decrease,no risk
Mifepristone,Glyburide,The serum concentration of Mifepristone can be increased when it is combined with Glofitamab.,increase,no risk
Mifepristone,Glycerol phenylbutyrate,The therapeutic efficacy of Glyburide can be decreased when used in combination with Mifepristone.,decrease,no risk
Mifepristone,Glycyrrhizic acid,The metabolism of Mifepristone can be increased when combined with Glycerol phenylbutyrate.,increase,no risk
Mifepristone,Glymidine,Mifepristone may decrease the excretion rate of Glycyrrhizic acid which could result in a higher serum level.,decrease,no risk
Mifepristone,Golimumab,The risk or severity of hypoglycemia can be increased when Mifepristone is combined with Glymidine.,increase,risk
Mifepristone,Goserelin,The metabolism of Mifepristone can be increased when combined with Golimumab.,increase,no risk
Mifepristone,Granisetron,The risk or severity of QTc prolongation can be increased when Goserelin is combined with Mifepristone.,increase,risk
Mifepristone,Grazoprevir,The risk or severity of QTc prolongation can be increased when Granisetron is combined with Mifepristone.,increase,risk
Mifepristone,Grepafloxacin,The serum concentration of Grazoprevir can be increased when it is combined with Mifepristone.,increase,no risk
Mifepristone,Griseofulvin,The risk or severity of QTc prolongation can be increased when Grepafloxacin is combined with Mifepristone.,increase,risk
Mifepristone,Halcinonide,The metabolism of Mifepristone can be increased when combined with Griseofulvin.,increase,no risk
Mifepristone,Halofantrine,The risk or severity of hyperglycemia can be increased when Halcinonide is combined with Mifepristone.,increase,risk
