DrugA,DrugB,Interaction,Mechanism,risk_level
Riociguat,Brexpiprazole,Brexpiprazole may decrease the antihypertensive activities of Riociguat.,decrease,no risk
Riociguat,Brigatinib,The metabolism of Brigatinib can be decreased when combined with Riociguat.,decrease,no risk
Riociguat,Brimonidine,Brimonidine may increase the antihypertensive activities of Riociguat.,increase,no risk
Riociguat,Bromocriptine,Bromocriptine may decrease the antihypertensive activities of Riociguat.,decrease,no risk
Riociguat,Bromotheophylline,Bromotheophylline may increase the hypotensive activities of Riociguat.,increase,no risk
Riociguat,Bumadizone,The therapeutic efficacy of Riociguat can be decreased when used in combination with Bumadizone.,decrease,no risk
Riociguat,Bumetanide,The risk or severity of adverse effects can be increased when Bumetanide is combined with Riociguat.,increase,risk
Riociguat,Bupivacaine,The risk or severity of adverse effects can be increased when Bupivacaine is combined with Riociguat.,increase,risk
Riociguat,Buprenorphine,Buprenorphine may decrease the excretion rate of Riociguat which could result in a higher serum level.,decrease,no risk
Riociguat,Buspirone,Buspirone may decrease the antihypertensive activities of Riociguat.,decrease,no risk
Riociguat,Butabarbital,Butabarbital may increase the hypotensive activities of Riociguat.,increase,no risk
Riociguat,Butalbital,Butalbital may increase the hypotensive activities of Riociguat.,increase,no risk
Riociguat,Butriptyline,Butriptyline may decrease the antihypertensive activities of Riociguat.,decrease,no risk
Riociguat,Gefitinib,Gefitinib may decrease the excretion rate of Riociguat which could result in a higher serum level.,decrease,no risk
Riociguat,Gemcitabine,The serum concentration of Gemcitabine can be increased when it is combined with Riociguat.,increase,no risk
Riociguat,Gemfibrozil,The metabolism of Riociguat can be decreased when combined with Gemfibrozil.,decrease,no risk
Riociguat,Gilteritinib,Gilteritinib may decrease the excretion rate of Riociguat which could result in a higher serum level.,decrease,no risk
Riociguat,Glasdegib,Glasdegib may decrease the excretion rate of Riociguat which could result in a higher serum level.,decrease,no risk
Riociguat,Glecaprevir,Glecaprevir may decrease the excretion rate of Riociguat which could result in a higher serum level.,decrease,no risk
Riociguat,Glofitamab,The serum concentration of Riociguat can be increased when it is combined with Glofitamab.,increase,no risk
Riociguat,Glycol salicylate,The therapeutic efficacy of Riociguat can be decreased when used in combination with Glycol salicylate.,decrease,no risk
Riociguat,Golimumab,The metabolism of Riociguat can be increased when combined with Golimumab.,increase,no risk
Riociguat,Grazoprevir,Grazoprevir may decrease the excretion rate of Riociguat which could result in a higher serum level.,decrease,no risk
Riociguat,Guanabenz,Guanabenz may decrease the antihypertensive activities of Riociguat.,decrease,no risk
Riociguat,Guanadrel,Guanadrel may increase the hypotensive activities of Riociguat.,increase,no risk
Riociguat,Guanethidine,Guanethidine may increase the hypotensive activities of Riociguat.,increase,no risk
Riociguat,Guanfacine,Guanfacine may decrease the antihypertensive activities of Riociguat.,decrease,no risk
Riociguat,Guanoxan,Riociguat may increase the hypotensive activities of Guanoxan.,increase,no risk
Riociguat,Halofantrine,The metabolism of Riociguat can be decreased when combined with Halofantrine.,decrease,no risk
Riociguat,Haloperidol,The serum concentration of Haloperidol can be increased when it is combined with Riociguat.,increase,no risk
Riociguat,Halothane,Halothane may decrease the antihypertensive activities of Riociguat.,decrease,no risk
Riociguat,Hydralazine,Hydralazine may increase the hypotensive activities of Riociguat.,increase,no risk
Riociguat,Hydrochlorothiazide,The therapeutic efficacy of Riociguat can be increased when used in combination with Hydrochlorothiazide.,increase,no risk
Riociguat,Hydrocortisone,The metabolism of Riociguat can be increased when combined with Hydrocortisone.,increase,no risk
Riociguat,Hydroflumethiazide,The therapeutic efficacy of Riociguat can be increased when used in combination with Hydroflumethiazide.,increase,no risk
Riociguat,Hydrotalcite,Hydrotalcite can cause a decrease in the absorption of Riociguat resulting in a reduced serum concentration and potentially a decrease in efficacy.,decrease,no risk
Riociguat,Hydroxychloroquine,The metabolism of Riociguat can be decreased when combined with Hydroxychloroquine.,decrease,no risk
Riociguat,Ketamine,The metabolism of Riociguat can be decreased when combined with Ketamine.,decrease,no risk
Riociguat,Ketoconazole,The serum concentration of Riociguat can be increased when it is combined with Ketoconazole.,increase,no risk
Riociguat,Ketoprofen,The therapeutic efficacy of Riociguat can be decreased when used in combination with Ketoprofen.,decrease,no risk
Riociguat,Ketorolac,The therapeutic efficacy of Riociguat can be decreased when used in combination with Ketorolac.,decrease,no risk
Riociguat,Nabilone,The risk or severity of adverse effects can be increased when Nabilone is combined with Riociguat.,increase,risk
Riociguat,Nabumetone,The therapeutic efficacy of Riociguat can be decreased when used in combination with Nabumetone.,decrease,no risk
Riociguat,Nadolol,Nadolol may increase the hypotensive activities of Riociguat.,increase,no risk
Riociguat,Naphazoline,Naphazoline may decrease the antihypertensive activities of Riociguat.,decrease,no risk
Riociguat,Naproxen,The therapeutic efficacy of Riociguat can be decreased when used in combination with Naproxen.,decrease,no risk
Riociguat,Naratriptan,Naratriptan may decrease the antihypertensive activities of Riociguat.,decrease,no risk
Riociguat,Naxitamab,Naxitamab may decrease the antihypertensive activities of Riociguat.,decrease,no risk
Riociguat,Nebivolol,Nebivolol may increase the hypotensive activities of Riociguat.,increase,no risk
Riociguat,Nefazodone,The serum concentration of Riociguat can be increased when it is combined with Nefazodone.,increase,no risk
Riociguat,Nelfinavir,The serum concentration of Riociguat can be increased when it is combined with Nelfinavir.,increase,no risk
Riociguat,Neratinib,The serum concentration of Riociguat can be increased when it is combined with Neratinib.,increase,no risk
Riociguat,Nesiritide,The risk or severity of adverse effects can be increased when Nesiritide is combined with Riociguat.,increase,risk
Riociguat,Netupitant,The metabolism of Riociguat can be decreased when combined with Netupitant.,decrease,no risk
Riociguat,Nialamide,Nialamide may increase the hypotensive activities of Riociguat.,increase,no risk
Riociguat,Nicardipine,The metabolism of Riociguat can be decreased when combined with Nicardipine.,decrease,no risk
Riociguat,Nicergoline,Nicergoline may decrease the antihypertensive activities of Riociguat.,decrease,no risk
Riociguat,Nicorandil,Nicorandil may increase the hypotensive activities of Riociguat.,increase,no risk
Riociguat,Nifedipine,The risk or severity of adverse effects can be increased when Nifedipine is combined with Riociguat.,increase,risk
Riociguat,Nilotinib,The serum concentration of Riociguat can be increased when it is combined with Nilotinib.,increase,no risk
Riociguat,Nilutamide,The metabolism of Riociguat can be decreased when combined with Nilutamide.,decrease,no risk
Riociguat,Nilvadipine,The metabolism of Riociguat can be decreased when combined with Nilvadipine.,decrease,no risk
